All sky irradiance,Clear sky irradiance,ALLSKY  ICI,Temperature,Dew point,Wet bulb,Surface pressure,ALLSKY SFC PAR TOT,ALLSKY SFC UV INDEX,CLRSKY SFC PAR TOT,QV2M
7.07,7.48,0.67,28.81,10.77,19.8,95.82,130.87,2.02,137.83,8.61
6.55,7.1,0.62,29.35,14.3,21.83,95.89,122.27,1.93,131.49,10.74
6.66,7.37,0.63,29.26,15.29,22.27,95.81,124.71,1.93,137.19,11.47
7.23,7.68,0.68,30.81,12.98,21.9,95.68,134.95,2.18,142.78,9.89
3.28,7.12,0.3,28.77,14.54,21.65,95.76,63.44,0.98,131.76,10.99
6.73,7.14,0.63,29.99,13.19,21.59,95.85,125.02,1.8,132.33,10.07
7.84,7.95,0.73,31.16,11.23,21.19,95.59,143.23,2.12,145.08,8.85
7.58,7.68,0.7,31.47,11.75,21.61,95.23,139.88,2.3,141.64,9.22
4.67,6.85,0.43,31.97,14.03,23,95.08,88.34,1.49,125.87,10.68
2.76,6.19,0.26,26.34,16.51,21.42,95.24,53.13,0.7,112.77,12.45
5.7,6.72,0.52,27.78,16.65,22.21,95.39,106.99,1.66,124.33,12.51
6.63,7.01,0.61,26.76,17.22,21.98,95.36,123.47,1.91,130.09,12.94
7.56,7.69,0.7,28.29,13.96,21.12,95.56,142.16,2.26,144.27,10.56
7.43,7.91,0.68,29.49,13.33,21.41,95.21,140.34,2.38,148.68,10.13
6.98,7.62,0.64,28.98,13.48,21.23,95.23,131.55,2.05,142.48,10.31
7.99,8.08,0.73,29.88,10.67,20.27,95.29,148.38,2.27,149.74,8.67
7.72,8.02,0.7,31.17,7.43,19.3,95.17,142.71,2.16,147.49,6.96
7.03,7.68,0.64,27.92,11.25,19.58,95.25,129.61,1.9,140.49,8.85
7.87,7.97,0.71,30.14,9.61,19.87,95.14,144.08,2.09,145.62,8
8.06,8.18,0.73,31.98,7.34,19.65,95.19,148.62,2.35,150.47,6.77
6.72,7.75,0.6,33.15,8.32,20.74,95.04,125.05,2.06,142.15,7.26
1.8,6.49,0.16,28.85,13.55,21.2,95.34,36.8,0.49,119.67,10.19
5.43,7.39,0.48,29.85,12.61,21.23,95.36,102.73,1.55,136.32,9.64
7.84,8.07,0.7,30.43,7.65,19.04,95.46,146.1,2.34,149.91,7.02
8.46,8.57,0.76,32.43,3.86,18.14,95.25,153.79,2.48,155.27,5.37
8.22,8.37,0.73,34.06,3.51,18.78,95.07,151.65,2.59,153.91,5.25
6.71,7.79,0.59,33.49,6.83,20.16,95.05,125.22,2.1,143.49,6.65
6.59,7.53,0.59,32.9,11.03,21.97,95.13,122.39,1.92,138.06,8.67
8.14,8.3,0.72,35.55,4.49,20.02,94.88,149.79,2.49,151.89,5.92
8.42,8.6,0.75,35.87,-0.42,17.73,94.66,153.63,2.59,156.07,3.97
8,8.34,0.71,36.49,3.01,19.75,94.5,147.08,2.52,152.29,5
7.19,7.79,0.63,37.25,3.63,20.44,94.26,131.85,2.21,141.45,5.31
6.38,6.98,0.56,33.81,5.64,19.73,94.54,113.89,1.59,123.61,6.16
7.56,7.94,0.66,32.37,4.71,18.55,95.26,136.09,2.04,141.84,5.74
8.24,8.45,0.73,33.41,0.94,17.18,95.26,148.98,2.34,152,4.33
8.44,8.61,0.74,35.01,0.64,17.82,95.03,152.18,2.42,154.24,4.21
