All sky irradiance,Clear sky irradiance,ALLSKY ICI,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
2.2,5.44,0.28,44.8,1.1,102.3
4.24,5.78,0.54,80.69,1.64,107.52
3.49,5.9,0.45,67.02,1.37,108.13
4.49,5.73,0.56,83.91,1.48,106.29
2.2,5.65,0.27,45.24,0.91,107.93
4.97,5.93,0.62,92.64,1.29,109
5.5,6.01,0.68,101.12,1.36,110.49
4.9,5.97,0.59,90.63,1.32,109.18
3.76,5.93,0.45,72.34,1.06,109.34
1.7,5.8,0.2,35.13,0.48,106.52
5.48,6.11,0.66,101.84,1.19,113.24
6.14,6.36,0.73,111.02,1.62,115.32
6.55,6.55,0.77,116.91,1.63,117.66
5.97,6.55,0.7,108.19,1.44,118.38
6.35,6.49,0.73,114.74,-999,117.89
6.51,6.51,0.75,117.55,1.46,118.28
5.65,6.51,0.65,104.02,1.53,118.74
5.41,6.54,0.62,99.88,1.57,118.71
5.09,6.41,0.58,95.62,1.3,118.09
4.23,6.49,0.48,80.29,1.06,120.24
6.47,6.57,0.73,119.11,1.65,121.13
6.23,6.6,0.7,115.33,1.87,121.9
6.51,6.78,0.72,118.37,1.9,122.96
6.81,6.87,0.75,121.98,1.86,123.32
4.99,6.73,0.55,93.26,1.59,121.71
5.05,6.75,0.55,95.92,1.62,124.69
6.83,6.96,0.73,125.63,1.88,128.33
6.48,7.11,0.7,118.91,1.8,129.05
7.06,7.08,0.75,128.05,1.97,128.72
6.85,7.08,0.73,124.54,1.88,128.55
6.59,7.01,0.7,120.36,1.91,127.55
6.17,7.05,0.65,115.34,1.73,130.58
5.25,6.93,0.55,99.58,1.52,128.34
5.47,6.97,0.57,103.7,1.72,129.37
4.86,7.04,0.5,94.5,1.54,132.23
6.78,7.1,0.7,126.3,1.88,131.95
7.04,7.26,0.72,129.87,2.15,133.84
6.86,7.24,0.7,126.33,2.18,132.88
6.37,7.46,0.65,117.91,2.01,137.3
7.68,7.74,0.77,137.97,2.1,139.18
6.88,7.51,0.69,126.09,1.84,136.51
7.2,7.43,0.72,132.47,1.76,136.62
7.65,7.69,0.77,139.16,1.95,140.04
6.56,7.66,0.65,121.44,1.9,139.52
6.14,7.53,0.61,115.27,1.9,138.66
4.49,7.39,0.45,87.89,1.52,138.12
7.72,7.76,0.76,141.66,1.99,142.38
7.33,7.76,0.71,134.84,2.17,141.97
4.64,7.69,0.45,90.3,1.72,141.98
5.86,7.75,0.57,112.12,1.94,143.71
6.24,7.86,0.6,116.23,1.85,143.12
7.28,7.74,0.7,135.2,1.91,143.01
5.85,7.93,0.56,110.97,1.67,144.77
6.04,7.82,0.58,114.12,1.81,143.32
5.81,7.88,0.55,111.23,1.92,145.55
4.97,7.84,0.47,97.5,1.82,145.62
4.27,7.83,0.41,83.76,1.63,145.72
4.21,7.8,0.4,83.8,1.58,145.83
4.72,7.8,0.45,92.47,1.62,146.33
4.59,8.02,0.43,90.81,1.55,148.77
6.12,8.04,0.57,115.23,1.84,147.59
4.93,7.76,0.46,94.94,1.44,141.7
6.53,8.04,0.61,121.35,1.96,146.45
6.77,8.1,0.62,126.52,2.18,148.45
7.62,8.05,0.7,143.15,2.37,149.77
6.35,7.94,0.59,121.38,1.93,148.3
5.12,7.89,0.47,99.73,1.48,146.74
3.28,8.01,0.3,67.2,1.14,148.38
5.49,7.94,0.5,106.65,1.67,147.97
6.12,7.89,0.55,117.06,1.76,147.8
5.49,7.89,0.5,107.84,1.62,148.68
4.84,8.01,0.44,96.05,1.61,150.08
3.5,8.1,0.32,71.67,1.33,151.39
5.75,8.24,0.52,111.91,2.05,153.45
3.52,8.1,0.32,70.28,1.34,149.89
6.28,8.2,0.56,120.03,2.18,152.79
7.89,8.41,0.71,145.86,2.38,153.8
6.24,8.22,0.56,118.96,2.02,150.98
5.16,8.2,0.46,99.6,1.69,152.41
7.68,8.37,0.69,143.63,2.05,154.41
5.88,8.31,0.52,113.88,1.88,154.02
6.62,8.29,0.59,125.04,1.98,152.88
6.16,8.2,0.55,117.41,1.55,151.57
8.4,8.49,0.74,154.98,2.2,155.68
7.81,8.51,0.7,145.74,2.14,157.03
4.48,8.25,0.4,89.85,1.51,153.99
7.89,8.44,0.7,146.48,2.26,155.05
7.23,8.4,0.64,136.96,2.05,155.9
7.17,8.4,0.63,136.29,2,155.65
4.51,8.45,0.4,90.58,1.59,157.43
3.39,8.48,0.3,69.86,1.33,157.86
4.49,8.53,0.39,88.97,1.52,157.58
4.86,8.39,0.43,96.26,1.52,155.14
3.57,8.26,0.31,74.2,1.3,155.09
3.41,8.34,0.3,70.9,1.3,155.43
3.05,8.35,0.27,64.29,1.3,156.64
3.2,8.37,0.28,67.55,1.36,158.21
3.39,8.6,0.3,70.72,-999,162.36
7.25,8.74,0.63,138.41,2.51,162.16
6.97,8.69,0.61,131.62,2.35,159.74
5.58,8.57,0.48,108.98,2.1,158.78
6.08,8.34,0.53,117.45,2.26,155.4
4.76,8.55,0.41,95.12,1.96,158.67
4.57,8.6,0.4,91.13,1.75,158.87
4.49,8.42,0.39,89.93,1.67,156.98
5.18,8.43,0.45,102.41,1.97,156.85
3.45,8.46,0.3,70.96,1.44,157.33
3.8,8.46,0.33,77.66,1.44,157.26
5.77,8.45,0.5,111.95,1.8,156.41
4.76,8.38,0.41,95.66,1.66,157.38
4.05,8.39,0.35,83.13,1.55,158.66
5.5,8.58,0.48,109.23,2.02,159.69
6.86,8.58,0.6,130.3,2.23,159.12
3.75,8.57,0.33,76.58,1.5,159.26
3.34,8.62,0.29,69.04,1.42,160.24
3.73,8.54,0.33,75.93,1.52,157.89
5.88,8.59,0.52,115.05,2.16,159.62
5.98,8.7,0.52,116.42,2.24,161.34
6.62,8.69,0.58,127.18,2.46,161.01
4.37,8.46,0.38,87.55,1.75,157.41
8.19,8.38,0.72,156.95,2.88,159.17
8.02,8.64,0.7,151.72,2.83,161.13
6.95,8.65,0.61,133.51,2.48,160.98
5.32,8.58,0.47,105.23,2.08,159.98
6.37,8.52,0.56,123.51,2.31,159.04
5.53,8.56,0.48,107.8,2.04,158.25
4.45,8.58,0.39,88.57,1.74,159.06
4.73,8.48,0.41,93.84,1.85,158.38
5.78,8.44,0.51,112.31,2.08,157.45
7.37,8.5,0.65,140.76,2.48,158.98
6.59,8.52,0.58,127.38,2.34,159.51
5.66,8.49,0.5,111.41,2.15,159.62
4.95,8.39,0.44,100.06,-999,158.86
4.31,8.33,0.38,88.32,-999,158.13
4.48,8.41,0.4,91.22,1.95,158.48
5.61,8.53,0.5,109.98,2.23,158.83
4.77,8.42,0.42,96.3,-999,158.68
4.15,8.39,0.37,84.59,1.78,157.44
6.7,8.4,0.6,128.4,2.44,157.29
6.02,8.31,0.54,118.12,2.38,156.84
7.39,8.25,0.66,142.74,2.73,157.16
7.36,8.26,0.66,141.58,2.75,156.25
5.87,7.89,0.53,115.82,2.33,151.66
7.15,7.79,0.64,139.69,2.58,149.9
7.2,7.85,0.65,141.1,2.62,152.26
5.34,7.7,0.48,106.66,2.09,148.06
7.05,7.95,0.64,137.48,2.55,152.49
6.83,8.11,0.62,131.9,2.46,153.83
4.89,8.1,0.45,97.61,2,152.87
5.1,8.12,0.47,100.68,2.11,152.79
4.47,8,0.41,89.28,1.88,150.88
4.69,8.04,0.43,94.28,1.98,151.91
5.95,8.14,0.55,114.97,2.26,152.38
6.17,8.11,0.57,118.22,2.32,151.31
5.93,8.03,0.55,114.79,2.16,149.98
6.08,8.01,0.56,118.07,2.22,150.45
6.14,7.89,0.57,119.55,2.32,148.8
5.84,7.74,0.55,115.16,2.27,147.02
5.17,7.73,0.48,103.08,2.02,147.08
6.88,7.94,0.64,131.29,2.41,149.09
7.4,8.13,0.7,137.28,2.48,149.38
6.37,7.87,0.6,122.79,2.26,148.35
5.23,7.93,0.49,102.84,2.02,148.48
5.07,7.92,0.48,98.65,1.92,147.82
6.19,7.97,0.59,117.96,2.23,148.12
6.1,7.91,0.58,115.92,2.19,147.03
6.55,7.96,0.62,122.98,2.39,146.58
6.28,7.86,0.6,119.73,2.39,145.73
4.81,7.79,0.46,94.01,1.94,145.45
6.05,7.75,0.59,115.77,2.2,144.78
6.7,7.7,0.65,126.41,2.34,143.23
7.16,7.78,0.7,133.99,2.45,144.21
6.91,7.74,0.67,129.63,2.37,143.45
4.6,7.69,0.45,89.57,1.77,142.2
5.39,7.45,0.53,105.31,1.82,141.27
6.44,7.46,0.63,123.52,-999,140.58
6.66,7.14,0.66,130.38,2.21,139.03
7.11,7.16,0.71,136.85,2.4,138.1
6.28,7.21,0.62,122.85,-999,139.05
4.8,7.19,0.48,95.99,1.87,138.24
6.02,7.2,0.61,117.23,2.18,137.87
6.69,7.21,0.68,128.74,2.33,137.95
5.34,7.22,0.55,104.61,1.99,137.27
3.63,6.93,0.38,74.33,1.48,133.3
5.87,6.82,0.6,115.3,2.05,132.58
6.29,6.84,0.65,122.97,2.12,133.18
5.83,6.73,0.6,114.18,2,130.73
6.24,6.75,0.65,120.87,2.16,130.76
6.68,6.83,0.7,127.69,2.2,130.53
6.81,6.9,0.72,130.02,2.29,132.05
6.02,7.04,0.64,113.44,2.05,130.72
5.66,6.84,0.6,108.8,1.88,129.46
5.51,6.84,0.59,105.63,1.82,128.14
6.33,6.88,0.68,118.36,1.91,128.05
5.46,6.86,0.59,104.63,1.83,128.37
5.77,6.77,0.62,108.6,1.88,126.18
6.78,6.8,0.74,125.68,2.05,126.55
5.57,6.61,0.61,105.3,1.77,122.85
5.84,6.52,0.65,110.17,1.8,122.77
6.48,6.57,0.72,121.62,1.89,123.7
6.43,6.66,0.72,119.05,1.91,123.49
5.67,6.53,0.64,107.65,1.81,122.85
6.42,6.6,0.73,118.62,1.88,122.3
6.47,6.53,0.73,118.35,1.79,120.09
5.24,6.36,0.6,98.32,1.63,118.16
6.08,6.46,0.7,111.92,1.83,118.7
6.13,6.22,0.71,114.54,1.73,116.56
4.58,6.06,0.53,88.72,1.47,114.38
2.96,5.8,0.35,60.46,1.04,111.16
4.87,5.99,0.58,93.38,1.46,113.61
3.47,6,0.41,68.86,-999,114.59
5.99,6.22,0.72,109.37,1.62,113.64
6.18,6.21,0.74,113.12,1.63,114.36
6.07,6.14,0.73,111.37,1.65,113.23
6.18,6.19,0.76,111.69,1.63,112.47
6.15,6.15,0.76,110.7,1.68,111.25
6.03,6.07,0.75,109.16,-999,110.48
6.06,6.08,0.76,108.82,1.66,109.84
6.02,6.02,0.76,108.74,1.72,109.3
5.78,5.81,0.73,106.48,1.65,107.63
5.62,5.81,0.72,102.23,1.53,105.93
3.7,5.67,0.48,70.89,1.16,105.24
5.22,5.64,0.68,95.02,1.32,102.45
5.74,5.78,0.75,103.61,1.39,105.07
5.51,5.63,0.73,99.41,1.29,102.27
4.97,5.48,0.66,91.3,1.27,100.13
5.25,5.36,0.7,95.42,1.25,97.9
5.24,5.37,0.7,95.2,1.22,98.12
4.79,5.35,0.65,88.2,1.22,98.26
4.85,5.22,0.66,89.7,1.25,96.64
5.24,5.32,0.72,95.93,1.22,98.09
5.27,5.26,0.73,96.2,1.2,96.84
5.13,5.16,0.72,94.63,1.18,96
5.22,5.2,0.73,94.73,1.16,95.37
5.3,5.28,0.75,95.37,1.16,95.91
5.16,5.14,0.74,93.67,1.13,94.12
5.17,5.32,0.74,90.36,1.14,93.63
5.22,5.24,0.76,92.43,1.14,93.7
5.12,5.11,0.75,91.28,1.09,91.88
2.42,4.86,0.36,46.61,0.72,89.2
4.99,5.01,0.74,89.3,1.05,90.52
4.81,4.82,0.73,86.64,0.98,87.59
4.49,4.94,0.68,81.25,0.96,89.48
5.01,5,0.77,88.17,0.95,88.88
4.87,4.85,0.75,86.77,0.95,87.29
4.37,4.67,0.68,78.35,0.88,84.51
4.65,4.68,0.73,82.23,0.93,83.72
4.53,4.64,0.71,80.42,0.93,83.24
4.42,4.54,0.7,79.8,0.89,82.62
3.45,4.42,0.55,64.13,0.77,81.06
3.96,4.41,0.64,72.52,0.81,80.62
4.06,4.32,0.66,73.98,0.8,79.19
4.38,4.35,0.72,79.09,0.84,79.67
3.4,4.26,0.56,62.88,-999,77.66
3.49,4.31,0.58,63.19,0.73,77.47
3.59,4.2,0.6,66.01,0.77,76.95
3.54,4.1,0.6,65.19,0.76,75.28
4,4.09,0.68,73.49,0.76,76.1
3.71,4.08,0.63,68.67,0.72,75.99
3.61,4.08,0.62,65.91,0.66,74.86
4.16,4.17,0.73,74.45,0.72,75.66
3.4,3.95,0.59,63.17,0.67,73.53
2.08,3.73,0.37,40.84,0.51,70.82
2.25,3.8,0.4,42.85,0.48,70
3.01,3.76,0.54,55.98,0.52,69.47
3.72,3.81,0.67,68.11,0.66,70.78
3.85,3.87,0.7,70.22,0.69,71.81
3.87,3.86,0.7,69.85,0.65,70.8
3.29,3.88,0.6,59.93,0.56,70.71
3.77,3.88,0.7,67.5,0.6,70.49
2.24,3.53,0.41,41.91,0.41,65.12
0.85,3.62,0.16,17.47,0.2,67.65
3.03,3.76,0.57,54.71,0.42,68.45
2.85,3.57,0.54,53,0.51,65.95
3.51,3.63,0.66,64.46,0.59,67.47
3.09,3.64,0.59,56.96,0.55,67.23
1.42,3.54,0.27,27.84,0.33,66.55
1.06,3.44,0.2,21.66,0.24,65.1
3.43,3.62,0.66,63.38,0.53,67.62
2.22,3.56,0.43,41.98,0.42,66.99
1.14,3.38,0.22,23.09,0.28,64.22
1.69,3.55,0.33,32.95,0.4,67.06
3.42,3.63,0.67,62.51,0.57,67.15
2.9,3.66,0.57,52.59,0.52,66.07
3.19,3.52,0.62,57.62,0.52,63.94
3.33,3.45,0.66,61.77,0.53,64.9
2.57,3.46,0.51,48.9,0.48,65.12
2.88,3.45,0.57,54.47,0.53,65.21
3.53,3.63,0.7,63.55,0.55,66.41
3.67,3.65,0.73,65.33,0.51,66.05
3.71,3.78,0.73,64.09,0.51,66.18
2.68,3.56,0.53,48.48,0.39,63.85
3.59,3.57,0.71,63.88,0.44,64.55
3.5,3.6,0.7,62.02,0.48,64.57
2.77,3.56,0.55,49.29,0.42,62.48
1.71,3.45,0.34,33.01,0.34,64.16
0.77,3.36,0.16,15.38,0.16,62.82
2.83,3.54,0.56,51.73,0.41,64.82
2.85,3.47,0.56,52.09,0.41,63.87
2.24,3.46,0.45,41.93,0.33,63.57
3.49,3.57,0.69,62.41,0.41,64.84
3.5,3.56,0.69,62.28,0.46,64.41
2.8,3.44,0.55,51.09,0.44,63
1.52,3.47,0.3,29.73,0.28,64.75
3.53,3.58,0.7,63.77,0.44,65.6
3.5,3.6,0.69,62.7,0.47,65.35
3.5,3.61,0.68,63.23,0.48,66.02
3.34,3.62,0.65,60.5,0.47,66.01
3.41,3.62,0.66,60.99,0.49,65.2
3.58,3.68,0.69,63.6,0.52,66.25
3.91,3.89,0.75,68.05,0.57,68.71
3.81,3.88,0.73,66.04,0.55,67.95
2.98,3.69,0.57,54.18,0.47,66.39
2.75,3.65,0.52,51.19,0.41,67.4
3.86,3.84,0.73,68.22,0.45,68.85
3.56,3.76,0.67,64.34,0.48,68.62
3.68,3.78,0.69,66.09,0.49,68.48
3.69,3.76,0.69,66.3,0.49,68.44
3.28,3.83,0.61,59.12,0.46,69.01
3.46,3.87,0.63,61.18,0.48,68.58
2.49,3.82,0.45,45.57,0.4,68.95
3.53,3.94,0.64,63.48,0.49,71.4
4.02,4.05,0.73,71.15,0.61,72.63
3.09,4.07,0.55,56.14,0.59,72.82
1.72,3.87,0.3,33.72,0.41,71.71
2.27,3.86,0.4,43.59,0.49,72.33
3.71,3.97,0.65,69.43,0.65,74.84
3.39,4.04,0.59,62.49,0.62,73.89
2.59,4.04,0.45,48.82,0.52,74.38
2.81,4.09,0.48,52.69,0.54,74.64
2.24,4.04,0.38,43.18,0.48,75.48
4.21,4.23,0.71,75.99,0.66,77.21
4.27,4.28,0.72,76.65,0.66,77.68
4.41,4.46,0.73,78.41,0.68,80.18
4.26,4.47,0.7,76.62,0.67,80.86
4.54,4.54,0.74,80.9,0.71,81.82
4.58,4.56,0.74,81.09,0.73,81.62
2.74,4.43,0.45,51.62,0.58,80.9
4.24,4.74,0.68,75.28,0.7,84.41
4.86,4.86,0.77,84.23,0.7,85.05
4.34,4.72,0.69,78.02,0.67,84.94
4.6,4.62,0.72,83.36,0.74,84.69
4.72,4.74,0.73,85.19,0.91,86.41
4.58,4.75,0.7,82.58,0.85,86.19
1.93,4.6,0.3,37.43,0.48,83.48
2.58,4.63,0.39,49.79,0.53,85.82
5.01,5.02,0.75,88.48,0.8,89.54
4.92,4.93,0.73,87.7,0.83,88.79
4.93,4.96,0.73,87.37,0.83,88.97
4.83,5.02,0.7,85.95,0.81,89.98
5.15,5.16,0.75,90.12,0.9,91.18
5,5.04,0.72,91.42,0.99,93.05
4.82,5.02,0.69,88.27,1.02,92.48
3.61,4.99,0.51,67.66,0.88,91.57
4.48,5.2,0.63,81.84,1.02,94.45
4.16,5.24,0.58,76.13,1,94.52
4.13,5.26,0.57,76.27,1.04,95.96
4.03,5.14,0.55,75.16,0.96,94.73
4.46,5.26,0.61,82.63,0.99,96.7
4.81,5.42,0.65,87.57,1.05,98.74
5.17,5.65,0.7,92.7,1.15,101.12
5.75,5.74,0.77,101.85,1.23,102.59
4.11,5.69,0.54,75.25,1.11,101.13
3.99,5.7,0.52,73.23,1.1,101.98
4.81,5.57,0.62,88.29,1.23,101.41
2.84,5.52,0.37,55.4,0.88,101.23
4.96,5.65,0.63,91.77,1.1,104.24
5.96,5.97,0.76,107.13,1.12,108.08
4.58,5.88,0.58,84.15,1.06,106.56
5.38,5.85,0.67,98.5,1.21,106.61
4.65,5.85,0.58,87.63,1.19,108.14
5.2,5.84,0.64,96.78,1.3,108.22
5.89,6.06,0.72,108.73,1.39,112.45
4.54,6.02,0.55,84.99,1.1,111.9
2.66,5.85,0.32,53.35,0.78,110.05
5.5,6.19,0.66,102.09,1.35,114.52
3.71,6.09,0.44,70.75,0.98,111.4
2.49,6.05,0.3,50.36,0.73,114.04
3.52,6.24,0.41,68.45,1.05,116.63
4.9,6.33,0.57,91.7,1.2,116.8
4.5,6.16,0.52,84.55,1.16,113.7
6.44,6.57,0.74,116.83,1.37,119.56
2.78,6.37,0.32,55.37,0.7,117.73
5.74,6.46,0.65,106.37,1.2,118.53
4.17,6.46,0.47,80.32,1.05,118.83
6.45,6.54,0.72,118.68,1.51,120.52
5.22,6.57,0.58,99.58,1.6,123.3
6.39,6.78,0.71,117.61,1.91,124.59
6.49,6.79,0.71,119.78,1.99,125.1
4.97,6.81,0.54,94.5,1.79,126.65
6.54,7.02,0.71,119.87,1.91,128.05
6.92,6.99,0.75,124.79,1.61,126.34
6.38,6.87,0.69,116.38,1.57,124.51
6.52,6.78,0.7,119.88,1.69,124.6
7.03,7.08,0.75,127.92,1.85,129.09
3.66,7.01,0.39,71.65,1.16,127.12
4.53,6.92,0.48,87.54,1.38,129.25
5.58,7.23,0.59,104.84,1.55,132.12
6.71,7.1,0.7,123.29,1.63,129.42
4.64,6.95,0.48,89.38,1.37,128.11
5.98,7.15,0.62,112.53,1.62,132.89
3.68,6.98,0.38,74.24,1.22,131.23
3.5,7.26,0.36,70.04,1.09,135.41
6.25,7.21,0.63,115.84,1.48,132.12
4.17,6.88,0.42,80.84,1.13,127.04
3.65,7.24,0.37,73.84,1.21,135.46
5.95,7.22,0.59,112.74,1.55,134.11
3.55,7.23,0.35,70.88,1.12,133.81
5.33,7.45,0.53,101.22,1.53,137.34
7.31,7.61,0.72,135.42,1.96,139.62
7.8,7.83,0.77,140.76,1.94,140.34
7.69,7.79,0.75,140.32,1.93,141.15
5.65,7.62,0.55,107.96,1.65,141.15
6.5,7.4,0.63,121.02,1.68,136.12
4.79,7.53,0.46,90.77,1.47,138.21
5.17,7.53,0.5,98.83,1.66,139.4
6.99,7.62,0.67,129.93,1.88,139.92
7.74,7.8,0.74,141.55,2.05,141.54
7.56,7.79,0.72,140.64,-999,143.54
7.5,7.84,0.71,139.55,2.13,144.2
7.14,7.83,0.68,133.96,2.22,144.55
6.65,7.85,0.62,125.77,2.21,145.32
6.78,8.04,0.64,127.48,2.27,147.83
6.25,8,0.59,118.7,2.01,147.34
3,7.97,0.28,60.54,1.2,148.02
4.3,7.84,0.4,85.72,1.52,146.37
6.95,8.1,0.65,129.7,2.19,148.23
8.05,8.15,0.75,148.94,2.42,149.49
7.59,8.1,0.7,142.55,2.34,149.99
8.1,8.3,0.75,149.45,2.48,151.48
8.31,8.36,0.77,152.36,2.55,151.86
8.36,8.43,0.77,152.7,2.62,152.54
8.02,8.46,0.73,146.43,2.62,152.42
6.34,8.34,0.58,119.98,2.19,152.32
5.22,8.13,0.48,102.05,1.88,151.04
4.4,8.12,0.4,87.16,1.68,150.41
7.36,8.41,0.66,137.72,2.34,153.9
7.94,8.29,0.72,150.34,2.35,154.86
7.46,8.21,0.67,140.11,2.21,151.52
7,8.24,0.63,133.6,2.2,153.83
7.72,8.17,0.7,146.24,2.32,152.52
7.76,8.28,0.7,146.21,2.32,153.48
5.48,8.41,0.49,106,1.94,154.84
6.66,8.31,0.59,130.09,2.38,157.94
8.33,8.62,0.74,154.86,2.62,158.2
8.35,8.55,0.74,155.73,2.48,157.15
8.31,8.55,0.74,154.26,2.49,156.42
6.65,8.47,0.59,127.13,2.25,156.16
7.54,8.41,0.67,142.38,2.27,155.62
6.9,8.44,0.61,130.92,2.14,155.3
6.64,8.45,0.59,125.63,2.12,155.23
7.82,8.59,0.69,145.7,2.52,156.7
6.87,8.44,0.61,131.98,2.42,157.28
3.83,8.44,0.34,78.38,1.57,157.7
4.45,8.39,0.39,89.95,1.79,157.37
7.33,8.5,0.65,140.23,2.49,159.02
7.51,8.36,0.66,143.15,2.45,156.01
6.5,8.31,0.57,124.07,2.15,153.87
5.15,8.11,0.45,100.32,1.75,149.6
7.76,8.42,0.68,147.66,2.54,156.91
3.38,8.47,0.3,69.26,1.43,157.84
4.77,8.43,0.41,95.47,1.84,158.77
7.36,8.44,0.64,142.27,2.4,159.55
8.48,8.81,0.74,159.21,2.67,162.54
8.86,9,0.77,162.74,2.69,162.73
8.81,8.94,0.77,161.64,2.66,161.52
8.55,8.87,0.75,157.05,-999,160.36
7.87,8.87,0.69,146.97,2.73,161.49
5.82,8.84,0.51,112.25,2.23,161.81
8.22,8.71,0.72,154.02,2.71,160.06
8.18,8.53,0.71,155.8,2.56,159.59
6.59,8.6,0.58,126.67,2.2,159.37
4.12,8.49,0.36,84.48,1.66,160.09
6.78,8.55,0.59,131.62,2.4,160.75
5.79,8.59,0.51,112.85,2.09,160.1
6.43,8.68,0.56,123.54,2.25,160.04
4.65,8.6,0.41,93.06,1.76,159.66
3.99,8.52,0.35,81.85,1.63,159.74
3.92,8.59,0.34,79.98,1.64,160.45
4.51,8.62,0.39,90.59,1.91,160.63
4,8.5,0.35,80.92,1.82,158.27
4.87,8.47,0.42,97.76,2.09,159.4
7.06,8.52,0.62,135.95,2.57,158.99
4.92,8.17,0.43,98.66,1.83,153.8
4.58,8.34,0.4,93.28,1.83,157.73
5.65,8.6,0.49,110.53,2.07,160.21
6.42,8.54,0.56,124.02,2.2,158.7
4.9,8.51,0.43,97.07,1.78,158.34
7.46,8.67,0.66,141.72,2.55,160.42
7.93,8.52,0.7,152.09,-999,160.22
8.14,8.5,0.71,156.45,2.89,160.55
8.42,8.7,0.74,157.23,2.87,159.89
8.33,8.71,0.73,154.87,2.91,158.93
7.82,8.69,0.69,147.49,2.88,160
7,8.72,0.62,132.98,2.7,160.42
8.04,8.68,0.71,151.55,2.98,160.46
7.69,8.36,0.68,148.46,2.91,158.35
7.24,8.1,0.64,142.41,2.69,156.17
8.07,8.2,0.71,156.93,2.91,157.43
7.24,8.29,0.64,141.05,2.8,158.09
6.61,8.45,0.59,128.62,2.67,159.09
7.58,8.5,0.67,145.02,2.86,159.23
7.48,8.42,0.66,143.98,2.77,158.45
7.63,8.48,0.68,145.21,2.78,158.09
7.8,8.45,0.7,148.52,2.87,157.99
7.43,8.31,0.66,142.8,2.73,156.76
6.64,8.37,0.59,127.79,2.57,156.02
5.52,8.35,0.5,107.55,2.19,155.38
4.74,8.44,0.43,93.52,1.94,155.77
5.91,8.38,0.53,113.68,2.24,155.31
5.82,8.32,0.52,112.61,2.23,154.59
7.21,8.37,0.66,136.36,2.62,154.98
6.17,8.29,0.56,119.51,2.42,154.95
6.38,8.26,0.58,123.05,2.42,154.17
5.79,8.32,0.53,111.89,2.31,154.28
6.19,8.23,0.56,119.8,2.41,154.17
6.37,8.02,0.59,125.23,2.45,153.11
7.8,7.91,0.72,151.73,2.8,152.3
6.36,8.05,0.59,123.27,2.42,151.77
4.16,8.07,0.38,84.04,1.8,151.62
4.89,8.01,0.45,97.2,1.94,150.16
4.7,7.98,0.44,93.87,1.89,149.65
4.46,7.99,0.41,88.8,1.84,149.95
7.13,8.11,0.66,135.2,2.52,150.59
7.27,7.96,0.68,137.9,2.55,148.55
7.44,8.07,0.7,140.87,2.67,150.46
7.64,8.19,0.72,142.4,2.72,150.46
7.38,8.06,0.7,138.37,2.72,149.08
7.16,7.95,0.68,134.42,2.59,146.88
7.15,7.58,0.68,138.15,2.58,144.9
6.09,7.5,0.58,118.45,2.35,143.52
7.49,7.53,0.72,145.65,2.72,145.26
7.13,7.36,0.69,139.8,2.6,142.96
5.63,7.21,0.54,111.25,2.11,139.55
5.44,7.27,0.52,106.21,2.02,138.36
6.17,7.18,0.6,119.51,2.12,136.72
5.59,6.94,0.55,107.96,1.87,130.73
6.06,6.76,0.59,115.12,1.92,126.31
5.05,6.62,0.49,97.57,1.66,124.4
6.7,6.76,0.66,129.66,2.23,130.24
6.63,7.08,0.66,129.8,2.4,137.39
4.22,7.07,0.42,85.22,1.72,135.94
5.14,7.04,0.52,100.48,1.95,133.96
5.03,7.04,0.5,99.17,1.97,133.4
6.92,7.17,0.7,130.96,2.35,134.71
6.86,7.25,0.7,129.55,2.33,135.62
7.15,7.48,0.73,132.98,2.4,137.83
7.03,7.44,0.72,131.33,2.41,137.45
5.86,7.22,0.6,112.17,2.13,135.28
6.52,7.15,0.67,123.21,2.29,133.54
6.12,6.95,0.63,117.14,2.1,131.07
6.55,6.78,0.68,124.43,1.97,128.01
6.46,6.85,0.67,122.27,2.05,128.56
6.82,6.86,0.71,129.33,2.15,129.83
6.74,6.8,0.71,125.62,2.12,126.47
3.67,5.5,0.39,68.33,1.05,97.34
3.15,5.55,0.34,61.27,0.99,101.59
5.46,6.16,0.59,99.94,1.5,110.91
4.81,6.3,0.52,89.37,1.35,113.26
4.71,5.46,0.51,82.92,1.05,94.94
5.61,5.75,0.61,98.47,1.32,100.78
5.27,5.67,0.58,93.49,1.32,99.9
5.5,5.83,0.6,97.96,-999,103.33
5.94,6.02,0.66,105.92,1.56,107.41
6.22,6.22,0.69,111.95,1.74,112.04
6.09,6.18,0.68,111.91,1.79,113.51
6.19,6.26,0.7,115.61,-999,116.74
6.38,6.38,0.72,121.63,1.95,121.45
5.16,6.41,0.59,98.82,1.7,120.49
5.55,6.35,0.63,105.12,1.73,119.02
6.27,6.38,0.72,116.84,1.87,118.51
6.37,6.41,0.73,118.02,1.87,118.45
6.1,6.2,0.71,113.19,1.77,114.72
5.15,6.16,0.6,97.52,1.68,114.59
4.24,6.18,0.5,81.68,1.44,115.16
3.93,6.19,0.47,75.96,1.34,115.2
5.56,6.08,0.66,103.99,1.66,112.83
5.47,6.05,0.66,102.3,1.62,112.26
5.95,5.99,0.72,109.69,-999,110.39
5.71,5.81,0.7,105.05,-999,106.85
5.79,5.94,0.71,106.3,1.55,108.84
5.62,5.89,0.7,102.72,1.52,107.14
