All sky irradiance,Clear sky irradiance,ALLSKY ICI,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
6.79,7.42,0.69,123.5,1.75,133.99
7.29,7.52,0.73,131.7,1.88,135.52
7.09,7.35,0.71,130.24,2.02,134.47
7.38,7.52,0.73,136.16,2.09,138.82
6.93,7.46,0.69,129.2,2.07,138.59
7.43,7.65,0.73,135.12,2.12,138.66
7.66,7.72,0.76,137.62,2.27,138.78
7.21,7.77,0.71,131.29,2.27,140.33
6.89,7.47,0.67,131.47,2.23,141.03
5.91,7.45,0.58,114.59,2.13,141.04
6.83,7.82,0.66,126.34,2.33,142.57
7.74,7.9,0.75,141.23,2.39,143.91
7.84,7.92,0.76,142.62,2.37,144.13
7.52,7.95,0.72,135.89,2.26,142.67
6.53,7.88,0.62,121.98,2.13,144.64
5.69,7.67,0.54,110.24,1.85,144.09
6.46,7.74,0.61,123.04,2.12,144.44
7.61,7.72,0.72,144,2.38,145.98
5.36,7.9,0.51,103.17,1.87,147.18
7.79,8.11,0.73,143.31,2.26,148.34
8.33,8.38,0.78,149.8,2.27,150.42
8.24,8.31,0.77,148.42,2.32,149.45
8.22,8.3,0.77,148.86,2.42,149.98
7.62,8.2,0.71,140.28,2.38,149.49
7.62,8.04,0.7,142.41,2.34,149.06
6.24,7.95,0.58,120,2.13,148.47
2.89,7.93,0.27,59.27,1.13,146.45
3.89,7.88,0.36,76.88,1.34,145.3
3.02,7.64,0.27,61.43,0.95,139.93
7.79,8.12,0.71,144.62,1.95,149.85
4.21,7.71,0.38,83.45,1.32,142.8
5.35,7.91,0.48,104.6,1.71,148.2
7.53,8.13,0.68,141.64,2.32,151.38
4.56,8.24,0.41,89.8,1.72,152.66
8.22,8.5,0.74,151.58,2.49,155.88
6.32,8.47,0.57,119.48,2.16,155.17
5.65,8.19,0.51,106.35,1.84,148.95
5.87,8.19,0.52,112.45,1.73,151.14
5.75,8.17,0.52,112.76,1.84,153.66
8.21,8.44,0.73,151.21,2.28,154.58
8.52,8.63,0.76,155.02,2.41,156.26
8.57,8.69,0.77,155.39,2.43,156.79
7.38,8.47,0.66,138.7,2.24,155.97
6.29,8.51,0.56,119.67,1.95,156.02
5.91,8.59,0.52,112.39,1.84,156.89
6.34,8.48,0.56,119.95,2.07,154.79
4.19,8.49,0.37,84.15,1.55,156.8
6.19,8.48,0.55,120.7,2.04,158.59
7.32,8.59,0.65,138.05,2.27,158.44
6.47,8.61,0.57,123.68,2.1,157.81
3.25,8.37,0.29,65.88,1.19,153.7
3.91,8.34,0.34,79.61,1.46,154.86
3.04,8.14,0.27,63.32,1.16,151.17
4.71,8.25,0.41,94.65,-999,155.44
4.6,8.41,0.41,91.89,1.67,156.13
3.99,8.47,0.35,81.06,-999,158.9
3.61,8.46,0.31,74.61,1.51,158.49
3.25,8.52,0.28,67.61,1.43,159.05
3.38,8.52,0.3,69.48,1.48,158.89
3.87,8.61,0.34,77.83,1.64,158.7
5.82,8.59,0.51,113.38,2.16,158.84
6.8,8.51,0.59,133.99,2.45,162.53
5.46,8.53,0.48,107.58,2.07,159.48
5.85,8.65,0.51,114.09,2.14,160.31
8.71,8.85,0.76,160.62,2.69,161.96
8.67,8.83,0.76,159.36,2.65,161.09
8.57,8.87,0.75,157.74,2.78,161.57
8.24,8.81,0.72,153.01,2.87,161.41
7.85,8.76,0.69,146.99,2.81,161.01
7.75,8.78,0.68,145.03,2.77,161.12
6.97,8.74,0.61,131.72,2.52,159.66
6.06,8.56,0.53,117.64,2.27,158.57
5.42,8.44,0.47,107.77,2.1,157.59
4.75,8.54,0.41,95.45,1.95,158.65
3.82,8.47,0.34,78.52,1.65,158.68
3.8,8.25,0.33,78.46,1.69,156.38
5.27,8.16,0.46,105.18,2.1,154.35
5.95,8.43,0.52,116.62,2.31,157.14
7.84,8.47,0.69,147.95,2.8,157.74
8.39,8.68,0.73,156.48,2.87,160.47
5.84,8.69,0.51,114.49,2.34,160.98
4.19,8.49,0.37,84.78,1.79,158.53
4.54,8.53,0.4,90.56,1.83,157.95
4.36,8.45,0.38,88.81,1.8,157.99
6.95,8.6,0.61,132.88,2.49,159.8
7.8,8.48,0.69,148.05,2.77,158.54
6.82,8.28,0.6,133.39,2.59,157.7
6.55,8.15,0.58,127.39,2.52,154.77
6.73,8.07,0.59,131.52,2.55,153.48
7.36,8.1,0.65,141.25,2.62,153.32
6.36,8.09,0.56,123.5,2.29,152.23
4.49,7.71,0.4,91.66,1.7,147.84
5.86,8.07,0.52,118.13,2.34,155.88
7.02,8.11,0.62,138.09,2.59,156.73
7.31,8.02,0.65,143.12,2.71,154.66
6.2,8.06,0.55,122.98,-999,155.61
6.94,8.07,0.62,136.45,2.73,155.09
5.36,7.96,0.48,107.5,2.16,152.52
5.39,7.84,0.48,107.45,2.1,149.16
6.08,7.97,0.54,120.24,2.35,151.76
6.83,7.82,0.61,134.16,2.48,150.96
6.14,7.83,0.55,122.36,2.35,152.23
6.88,8.13,0.62,133.51,2.62,155.2
6.88,8.26,0.62,133.01,2.64,156.05
6.64,8.12,0.59,130.74,2.59,155.53
6.77,7.93,0.61,133.2,2.62,152.78
4.6,7.78,0.41,94.57,1.91,151.02
4.9,7.74,0.45,98.94,-999,150.68
4.82,8.14,0.44,97.23,1.99,154.27
5.32,8.18,0.48,104.48,-999,155.88
4.77,8.11,0.44,96.62,2.05,154.27
